date;salesAmount;promotionYes;bridgeDayYes;publicHolidayYes;seasonCode;seasonName;calendarWeek;newSnowCode;newSnowDescription;rainCode;rainDescription;sunshineCode;sunShineDescription;temperaturCode;temperatureDescription;shopsClosedYes;weekdayCode;weekDayDescription
2013-04-02;6271;0;0;0;1;Fruehling;14;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;3;Dienstag
2013-04-03;5103;0;0;0;1;Fruehling;14;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;4;Mittwoch
2013-04-04;4980;0;0;0;1;Fruehling;14;0;kein Schnee;1;viel trockener als Mittel;2;weniger als Mittel;1;viel kaelter als Mittel;0;5;Donnerstag
2013-04-05;8490;0;0;0;1;Fruehling;14;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;6;Freitag
2013-04-06;10673;0;0;0;1;Fruehling;14;0;kein Schnee;1;viel trockener als Mittel;2;weniger als Mittel;1;viel kaelter als Mittel;0;7;Samstag
2013-04-07;1120;0;0;0;1;Fruehling;14;0;kein Schnee;1;viel trockener als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;1;1;Sonntag
2013-04-08;6489;0;0;0;1;Fruehling;15;0;kein Schnee;4;feuchter als Mittel;1;viel weniger als Mittel;1;viel kaelter als Mittel;0;2;Montag
2013-04-09;13224;1;0;0;1;Fruehling;15;0;kein Schnee;5;viel feuchter als Mittel;3;Mittel;2;kaelter als Mittel;0;3;Dienstag
2013-04-10;13611;1;0;0;1;Fruehling;15;0;kein Schnee;1;viel trockener als Mittel;3;Mittel;3;Mittel;0;4;Mittwoch
2013-04-11;11858;1;0;0;1;Fruehling;15;0;kein Schnee;5;viel feuchter als Mittel;2;weniger als Mittel;4;waermer als Mittel;0;5;Donnerstag
2013-04-12;14575;1;0;0;1;Fruehling;15;0;kein Schnee;5;viel feuchter als Mittel;3;Mittel;3;Mittel;0;6;Freitag
2013-04-13;17629;1;0;0;1;Fruehling;15;0;kein Schnee;4;feuchter als Mittel;4;mehr als Mittel;3;Mittel;0;7;Samstag
